domain,title,description,pubDate,cat,link
디지털투데이 (DigitalToday),"NIPA, 2021년 클라우드 상호운용성 시험 컨설팅 대상 기업 모집",TTA)는 '2021년 클라우드 상호운용성 시험 및 컨설팅'의 대상기업을 23일까지 모집한다. 2016년부터 진행된 '클라우드 상호운용성 확보' 사업은 선정된 기업을 대상으로 ▲각 서비스에 적합한 국제 표준 및 오픈소스... ,2021-02-02 13:13:00,클라우드,http://www.digitaltoday.co.kr/news/articleView.html?idxno=262743
서울경제,해커집단 어나니머스 말레이 정부 사이트 공격했다···말레이 정부는 부인,국제 해커집단 '어나니머스'(Anonymous)의 하부조직을 자처하는 '어나니머스 말레이시아'가 말레이시아 정부 사이트를 연속해서 공격했다고 주장했다. 2일 말레이메일 등에 따르면 어나니머스 말레이시아는 지난달 31일 밤... ,2021-02-02 13:09:00,해커,https://www.sedaily.com/NewsView/22IDJDDFRC
머니S - 돈이 보이는 스페셜 뉴스,"안랩, 차세대방화벽 ‘트러스가드’ 하이엔드 모델 3종 출시","안랩은 네트워크 트래픽이 증가하는 환경에 맞춰 차세대 방화벽 ‘안랩 트러스가드’의 성능을 향상시킨... 안랩에 따르면 기존 동급 모델(1000A·5000A·10000A)보다 방화벽 트래픽 처리 성능이 약 1.5배 향상됐고, 관리... ",2021-02-02 13:05:00,방화벽,http://moneys.mt.co.kr/news/mwView.php?no=2021020212598014244
"비즈니스, 테크놀로지, 리더십 - CIO Korea",GCP가 종합 1위 코크로치 랩스 클라우드 3사 벤치마크 보고서,"코크로치 랩스가 주요 클라우드 3사의 성능을 벤치마크한 결과를 발표했다. 종합 성능에서는 구글 클라우드(GCP)가 1위를 차지했다. 마이크로소프트 애저는 스토리지 성능에서, AWS는 레이턴시 응답에서 우수했다는... ",2021-02-02 12:05:00,클라우드,http://www.ciokorea.com/news/181524
대학저널,"극동대 해킹보안학과-정보보안기업 코드원, 산학협력 맺어",사진=극동대 제공 극동대학교(총장 류기일) 해킹보안학과와 정보보안기업 코드원은 인공지능을 활용한 보안 취약점 제거 연구 분야에 대한 산학협력을 체결했다고 2일 밝혔다. 코드원은 S/W(소프트웨어) 취약점 분석에... ,2021-02-02 11:39:00,보안 취약점,http://www.dhnews.co.kr/news/articleView.html?idxno=136131
"메인페이지 :: 대전일보 - 대전일보 71주년, 충청의 미래를 열어 갑니다.",음성 극동대 해킹보안학과-정보보안기업 코드원 산학협력 체결,"인공지능 활용 보안 취약점 제거 연구, 우수 졸업생 2명 연구원 채용 극동대학교(총장 류기일) 해킹보안학과와 정보보안기업 코드원은 인공지능을 활용한 보안 취약점 제거 연구 분야에 대한 산학협력을 체결했다고... ",2021-02-02 11:34:00,보안 취약점,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1457334
데일리경제,"안랩, 차세대방화벽 트러스가드 하이엔드 모델 3종 출시","방화벽 '안랩 트러스가드(AhnLab TrusGuard, 이하 트러스가드)'의 성능을 향상시킨 하이엔드 모델 3종을 출시했다. 안랩 트러스가드는 국내에서 유일하게 가트너의 매직 쿼드런트 '엔터프라이즈 네트워크 방화벽... ",2021-02-02 11:33:00,방화벽,http://www.kdpress.co.kr/news/articleView.html?idxno=100575
아이뉴스24,'개인정보 유출 최소화'…박성중 본인확인기관 지정요건 강화해야,무분별한 주민등록번호 수집‧활용 최소화를 통한 개인정보 유출 피해 및 비대면 본인 확인에 의한 명의도용 피해를 예방해야 한다. 2일 국회 과학기술정보방송통신위원회(과방위) 소속 박성중 의원(국민의힘)은... ,2021-02-02 11:31:00,정보유출,http://www.inews24.com/view/1340024
전자신문,"안랩, 차세대방화벽 트러스가드 하이엔드 모델 3종 출시","안랩이 차세대 방화벽 '안랩 트러스가드' 성능을 향상한 하이엔드 모델 3종을 출시했다. 신제품은 △안랩... 기존 동급 모델(안랩 트러스가드 1000A, 5000A, 10000A) 대비 방화벽 트래픽 처리 성능을 약 1.5배 향상했으며... ",2021-02-02 11:26:00,방화벽,http://www.etnews.com/20210202000082
데이터뉴스,"안랩, 차세대방화벽 ‘트러스가드’ 하이엔드 모델 선보여","안랩(대표 강석균)은 네트워크 트래픽이 증가하는 환경에 맞춰 차세대 방화벽 ‘안랩 트러스가드’의... 기존 동급 모델보다 방화벽 트래픽 처리 성능을 약 1.5배 향상시켰으며, 가상사설망(VPN), 침입방지시스템(IPS)... ",2021-02-02 11:26:00,방화벽,http://www.datanews.co.kr/news/article.html?no=110817
전자신문,"엔클라우드24, '포톤 게임서버엔진 웨비나' 성료…토크콘서트 통해 개발노하우...","클라우드 MSP(Managed Service Provider) 전문기업 엔클라우드24(대표 맹상영, 웰데이타시스템)가 라이브 스트리밍 기반의 토크콘서트형 웨비나를 통해 포톤 게임서버엔진 등 게임개발자들의 역량강화를 위한... ",2021-02-02 11:25:00,클라우드,http://www.etnews.com/20210202000081
보안뉴스,"우리금융, ‘그룹 공동 클라우드’ 플랫폼 구축",그룹 디지털 혁신 추진의 일환으로 공유형 IT자원 관리 시스템 구축 완료[보안뉴스 ] 우리금융그룹은 그룹 디지털 혁신 추진의 일환으로 ‘그룹 공동 클라우드’ 플랫폼을 구축했다고 밝혔다.그룹 공동 클라우드는... ,2021-02-02 11:24:00,클라우드,http://www.boannews.com/media/view.asp?idx=94609&kind=
IT세상을 바꾸는 힘 지디넷코리아,"안랩, 하이엔드 차세대 방화벽 3종 출시",안랩(대표 강석균)은 차세대 방화벽 ‘안랩 트러스가드’의 성능을 향상시킨 하이엔드 모델 3종을... 기존 동급 모델인 안랩 트러스가드 1000A·5000A·10000A 대비 방화벽 트래픽 처리 성능이 약 1.5배 향상됐다.... ,2021-02-02 11:20:00,방화벽,https://zdnet.co.kr/view/?no=20210202111850
디스커버리뉴스 | DiscoveryNews,"중부발전, 협력기업 정보보안 지원 성공 수행","따라서 IT설비 보안취약점 분석 및 보안수준 진단, 관리적/기술적/물리적 분야 심층컨설팅, 보안인프라 및 정보보안 솔루션 구매 지원 등 맞춤형 정보보안 공공서비스를 시행했다. 중부발전에서 정보보안 지원을 받은... ",2021-02-02 10:56:00,보안 취약점,http://www.tourtimes.net/351847
