domain,title,description,pubDate,cat,link
보안뉴스,"이글루시큐리티, 취약점 진단 자동화 솔루션 ‘스마트가드 3.1’ 출시",관리·보안 취약점 진단 자동화 솔루션인 ‘Smart[Guard](스마트가드)’ 3.1 버전을 출시했다.스마트가드는 IT 자산 위협 관리와 취약점 진단을 통합적으로 실행할 수 있는 솔루션이다. IT 인프라에서 구동되는 소프트웨어... ,2021-02-02 10:13:00,보안 취약점,http://www.boannews.com/media/view.asp?idx=94634&kind=
IT세상을 바꾸는 힘 지디넷코리아,새로운 RHEL 클론 '알마리눅스' 베타 공개,레드햇엔터프라이즈리눅스(RHEL)의 새로운 클론 프로젝트 알마리눅스(AlmaLinux)가 베타 버전으로 나왔다. 센트OS가 RHEL 마이너 버전의 선행 버전으로 성격을 바꾼 뒤 커뮤니티 차원의 맞대응이 본격화되는 모양새다. 1일... ,2021-02-02 10:12:00,리눅스,https://zdnet.co.kr/view/?no=20210202095802
데이터넷,"인섹시큐리티 조샌드박스, 국내 여러 산업군에 공급","조시큐리티 '조샌드박스'의 공식 총판사인 인섹시큐리티의 김종광 대표는 심층 멀웨어 분석에 적합한 혁신적인 조샌드박스는 윈도우, 리눅스, 맥, 안드로이드, iOS 등 다양한 운영체제 실행파일에 대한 악성코드 통합... ",2021-02-02 09:55:00,멀웨어,http://www.datanet.co.kr/news/articleView.html?idxno=155734
뉴스핌 - 뉴스핌,"마이크로소프트 北 해커들, 사이버보안 전문가에 수시로 해킹 공격", 북한을 배후에 둔 것으로 알려진 해커들이 사이버 보안업체와 연구소 전문가들을 대상으로 끊임없이... 해커들이 지난해 개설한 한 허위 트위터 계정은 고급 정보가 담긴 게시물을 통해 약 2000명의 구독자를 얻기도... ,2021-02-02 09:49:00,"해커, 사이버 공격",http://www.newspim.com/news/view/20210202000198
"이데일리-세상을 올바르게,세상을 따뜻하게","안랩, 차세대 방화벽 `트러스가드` 하이엔드 모델 3종 출시","안랩(053800)은 네트워크 트래픽이 증가하는 환경에 맞춰 차세대 방화벽 `안랩 트러스가드`의 성능을... 기존 동급 모델 대비 방화벽 트래픽 처리 성능을 약 1.5배 향상시켰으며 가상사설망(VPN), 침입방지시스템(IPS) 등의... ",2021-02-02 09:47:00,방화벽,http://www.edaily.co.kr/news/newspath.asp?newsid=02099206628946584
글로벌이코노믹,"안랩, 차세대방화벽 ‘트러스가드’ 하이엔드 모델 출시…트래픽 처리 1.5배 ...","안랩은 네트워크 트래픽이 증가하는 환경에 맞춘 차세대 방화벽 ‘안랩 트러스가드(AhnLab TrusGuard)’의... 기존 동급 모델보다 방화벽 트래픽 처리 성능을 약 1.5배 향상시켰으며, 가상사설망(VPN), 침입방지시스템(IPS)... ",2021-02-02 09:47:00,방화벽,http://www.g-enews.com/ko-kr/news/article/news_all/2021020209440081641e71ea687c_1/article.html
EBN,"안랩, 차세대방화벽 트러스가드 하이엔드 모델 3종 출시",안랩은 2일 네트워크 트래픽이 증가하는 환경에 맞춰 차세대 방화벽 안랩 트러스가드의 성능을 향상시킨... 기존 동급 모델 대비 방화벽 트래픽 처리 성능을 약 1.5배 향상시켰으며 가상사설망(VPN)과 침입방지시스템(IPS)... ,2021-02-02 09:38:00,방화벽,https://www.ebn.co.kr/news/view/1470570/?sc=Naver
아이뉴스24,"블루크랩 랜섬웨어, '기업·개인' 차별화 공격…파일 다운로드 '주의'",지난 2019년 안랩이 신종 랜섬웨어로 명명한 '블루크랩'이 최근 기업과 개인 사용자를 대상으로 각각 차별화된 공격 방식을 감행하고 있는 것으로 나타났다. 2일 안랩에 따르면 블루크랩 공격자는 기업 환경이라고 판단 시... ,2021-02-02 09:11:00,랜섬웨어,http://www.inews24.com/view/1339886
데이터넷,[2021 보안 담당자 설문조사②] 클라우드 사용 파악 못해,"컨테이너·서버리스 컴퓨팅 보안 취약점 점검 솔루션 11%, 클라우드 접근 보안 중개(CASB) 10.4%였다. 클라우드 보안의 가장 기본이라고 지목되는 클 라우드 워크로드 보호 플랫폼(CWPP)은 5.5%, 클라우드 보안 형상관리(CSPM)는 6.... ",2021-02-02 09:00:00,"보안 취약점, 클라우드 보안",http://www.datanet.co.kr/news/articleView.html?idxno=155720
CEO스코어데일리,"강석균 안랩 대표, ‘클라우드’ 사업 강화 DT 경쟁력 높인다","안랩이 올해 클라우드 보안 사업을 본격적으로 강화한다. 작년 신종 코로나바이러스 감염증(이하 코로나19)을 계기로 빨라진 디지털전환(Digital Transformaition, 이하 DT)에 사이버위협도 점차 고도화되고 있어 이에... ",2021-02-02 07:08:00,클라우드 보안,http://www.ceoscoredaily.com/news/article.html?no=78126
동아닷컴,"“美, 기밀정보 동맹 ‘파이브 아이스’에 日도 합류 추진”","5G 통신망이 사이버 테러, 정보 유출 등에 이용될 우려도 있어 미국, 영국은 5G 통신망 구축사업에서 중국 업체인 화웨이를 배제하는 움직임을 보였다. 그 과정에서 NEC, 후지쓰 등 일본 기업들이 반사이익을 얻고 있다.... ",2021-02-02 03:03:00,정보유출,https://www.donga.com/news/article/all/20210202/105229510/1
YTN,"경찰, '은수미 수사정보 유출 의혹' 성남수정경찰서 압수수색",은수미 성남시장의 정치자금법 위반 혐의에 대한 수사정보가 은 시장 측에 유출됐다는 의혹과 관련해 당시 담당 수사관이 있는 성남 수정경찰서를 경찰이 압수수색 했습니다. 경기남부경찰청은 지난달 29일 성남... ,2021-02-01 21:34:00,정보유출,https://www.ytn.co.kr/_ln/0103_202102012134029907
보안뉴스,"랜섬웨어, 현재 사이버 범죄자들의 가장 쉬운 돈 벌기 수단","랜섬웨어에 걸리면 범인들이 제시하는 암호화폐로 돈을 내야 한다. 이런 수법으로 범인들은 작년 한 해 3억 달러가 넘는 돈을 거뒀다. 그러나 이렇게 많은 돈을 벌었는데도, 암호화폐 전체 생태계에서 보자면 극히... ",2021-02-01 20:21:00,랜섬웨어,http://www.boannews.com/media/view.asp?idx=94602&kind=
중부일보 - 경기·인천의 든든한 친구,꿀알바 보장…청소년 개인정보 노리는 불법도박사이트 알바 성행,청소년들이 무방비로 개인정보 유출 범죄와 학교폭력에 노출되자 경기 지역 내 한 교육지원청은 지난해 관내 학교에 '불법인증을 위한 번호요구 예방 안내문'을 발송하기도 했다. 경기도교육청은 지역 상황과 여건에... ,2021-02-01 18:58:00,정보유출,http://www.joongboo.com/news/articleView.html?idxno=363470986
디지털타임스,"네이버클라우드·크립토랩·서울대, 동형암호 기술 기반 클라우드 `협력`","권오현 네이버클라우드 보안개발 리더는 기술이 발전하고 데이터 수요가 증가함과 동시에 프라이버시 침해 위험이 높아진 상황에서 네이버클라우드는 고도화된 보안 체계를 적용해 금융이나 공공, 의료 부문에 차별화된... ",2021-02-01 17:39:00,클라우드 보안,http://www.dt.co.kr/contents.html?article_no=2021020102109931054008&ref=naver
보안뉴스,"北 탈륨 해커조직, 러시아 경제 연구원 대상 사이버공격 펼쳤다","탈륨, 한국·미국뿐만 아니라 러시아 연구원 겨냥한 사이버 공격 시도2019년 국내 공격 시 사용한 명령제어 서버 이번 공격에 재활용유사 공격사례의 악성문서 파일에서도 북한 글꼴(폰트) 사용 발견[보안뉴스 ]... ",2021-02-01 16:12:00,"해커, 사이버 공격",http://www.boannews.com/media/view.asp?idx=94600&kind=
 베타뉴스,"샤오미 미밴드6, 출시 정보 유출",샤오미의 2021년 스마트밴드인 미밴드6에 관련된 정보가 유출돼 관심이 집중된다. IT전문 매체 HT테크에 따르면 샤오미가 올해 선보일 미밴드6는 스마트홈 장치와 내장 GPS 수신기 등을 제공할 예정이다. 매체는... ,2021-02-01 15:38:00,정보유출,http://www.betanews.net:8080/article/1252715.html
TV조선뉴스,"日요미우리 北, 한국 공공분야에 일평균 150만건 사이버 공격",북한이 한국의 금융·인프라(사회기반) 등의 공공 분야에서 지난해 하루 평균 약 150만 건의 사이버 공격을 감행한 것으로 의심된다고 요미우리신문이 1일 서울발로 보도했다. 이 신문은 국가정보원이 작년 11월 국회에... ,2021-02-01 15:34:00,사이버 공격,http://news.tvchosun.com/site/data/html_dir/2021/02/01/2021020190076.html
데일리시큐,[데이터융합포럼 특별기고-5] '가명정보결합'이란 무엇이고…문제는 뭘까?,"일반적으로 결합 ID값을 만드는 방법은 해시 알고리즘을 이용하고, 사용변수로 생년월일, 성명, 성별, 솔트값(정보유출 방지를 위해 사용하는 난수값) 등을 활용하여 결합용 ID값을 만들게 된다. 이렇게 만들어진 ID값을... ",2021-02-01 15:27:00,정보유출,https://www.dailysecu.com/news/articleView.html?idxno=120230
파이낸셜뉴스,"네이버, 크립토랩·서울대와 클라우드 보안 강화",네이버클라우드 권오현 보안개발 리더는 “기술이 발전하고 데이터 수요가 증가하면서 동시에 프라이버시 침해 위험도 높아지고 있다”며 “크립토랩과 서울대가 지닌 전문성 기반으로 동형암호 기술을 활용한 네이버... ,2021-02-01 15:22:00,클라우드 보안,http://www.fnnews.com/news/202102011506004164
데일리팝,"[그것이궁금] 나만 알아야 할 개인정보, 유출 막아주는 '정보보호상시평가제'",개인 정보유출이 전세계적인 문제로 떠오르면서 소비자들의 걱정을 사고 있습니다. 특히 온라인 활동량이 많은 젊은 자취생의 경우 주변 도움이나 정보 접근성이 어려워 정보유출에 대한 예방에 취약한데요.... ,2021-02-01 15:00:00,정보유출,http://www.dailypop.kr/news/articleView.html?idxno=48901
파이낸셜뉴스,"北, 하루 150만건 韓사이버 공격...17세부터 사이버 전사 양성","북한이 한국을 대상으로 지난해 하루 평균 약 150만 건의 사이버 공격을 감행한 것으로 의심된다고 요미우리신문이 1일 보도했다. 한국 국가정보원과 한국 정부 관계자의 발언을 종합하면 한국 금융, 공공분야에서... ",2021-02-01 14:33:00,사이버 공격,http://www.fnnews.com/news/202102011423404017
파이낸셜투데이,"[단독] 태영건설, 기자 개인정보 유출 논란…취재 들어가자 시행사에 책임 떠...",사진=네이버 지도 캡쳐 태영건설이 시공을 맡고 ㈜서영건설 플러스가 시행에 나선 '구리갈매 아너시티' 현장에서 개인정보 유출이 발생해 논란이 일고 있다. 태영건설은 시공사라며 시행사인 ㈜서영건설플러스에 책임을... ,2021-02-01 14:25:00,정보유출,http://www.ftoday.co.kr/news/articleView.html?idxno=210938
 :: 공감언론 뉴시스통신사 :: ,"北, 한국 공공분야 하루 150만건 사이버 공격 日언론",신문은 북한이 신종 코로나바이러스 감염증(코로나19)으로 국경을 봉쇄하고 경제제재로 외화부족이 심화되면서 사이버공격으로 이를 보충하려 하고 있다는 관측이 한국에서 나오고 있다고 전했다. 한국 정부... ,2021-02-01 13:00:00,사이버 공격,http://www.newsis.com/view/?id=NISX20210201_0001324989&cID=10101&pID=10100
디지털데일리,[주간 클라우드 동향/2월①] “땡큐 클라우드”…관련 기업 ‘어닝서프라이즈...,"◆안랩, 클라우드 보안 스타트업 2곳과 투자 및 전략적 제휴 체결=안랩은 클라우드 보안 스타트업인 아스트론시큐리티, 테이텀과 투자 협약 및 전략적 제휴를 체결했다. 3사는 ▲클라우드 보안 관련 공동 연구개발... ",2021-02-01 11:57:00,클라우드 보안,http://www.ddaily.co.kr/news/article.html?no=208810
Chosunbiz - í”„ë¦¬ë¯¸ì—„ ê²½ì œ íŒŒì›Œ,"北, 한국 공공분야 일평균 150만건 사이버 공격",북한이 한국의 금융·인프라 등의 공공 분야에서 지난해 하루 평균 약 150만 건의 사이버 공격을 감행한 것으로 의심된다고 요미우리신문이 1일 서울발로 보도했다. 이 신문은 국가정보원이 지난해 11월 국회에 보고한... ,2021-02-01 11:53:00,사이버 공격,https://biz.chosun.com/site/data/html_dir/2021/02/01/2021020101474.html?utm_source=naver&utm_medium=original&utm_campaign=biz
아이뉴스24,"네이버클라우드-크립토랩-서울대, 동형암호 클라우드 사업 '맞손'","권오현 네이버클라우드 보안개발 리더는 네이버클라우드는 고도화된 보안 체계를 적용해 금융이나 공공, 의료 부문에 차별화된 보안 서비스를 마련해왔다며 크립토랩과 서울대가 지닌 전문성과 노하우를 기반으로... ",2021-02-01 11:38:00,클라우드 보안,http://www.inews24.com/view/1339705
SBS 뉴스,"요미우리 北, 한국 공공분야 일평균 150만 건 사이버 공격",북한이 한국의 금융·인프라(사회기반) 등의 공공 분야에서 지난해 하루 평균 약 150만 건의 사이버 공격을 감행한 것으로 의심된다고 일본 요미우리신문이 1일 서울발로 보도했습니다. 이 신문은 국가정보원이 작년... ,2021-02-01 11:26:00,사이버 공격,https://news.sbs.co.kr/news/endPage.do?news_id=N1006192709&plink=ORI&cooper=NAVER
news.kbs.co.kr,"요미우리 “北, 한국 공공분야 일평균 150만 건 사이버 공격”",북한이 한국의 금융·인프라 등의 공공 분야에서 지난해 하루 평균 약 150만 건의 사이버 공격을 감행한 것으로 의심된다고 요미우리신문이 1일 서울발로 보도했습니다. 이 신문은 국가정보원이 작년 11월 국회에 보고한... ,2021-02-01 11:24:00,사이버 공격,http://news.kbs.co.kr/news/view.do?ncd=5108053&amp;ref=A
연합뉴스,"北, 한국 공공분야 일평균 150만건 사이버 공격&lt;요미우리&gt;",박세진 특파원 = 북한이 한국의 금융·인프라(사회기반) 등의 공공 분야에서 지난해 하루 평균 약 150만 건의 사이버 공격을 감행한 것으로 의심된다고 요미우리신문이 1일 서울발로 보도했다. 이 신문은 국가정보원이... ,2021-02-01 11:16:00,사이버 공격,http://yna.kr/AKR20210201066400073?did=1195m
테크놀로지 리더를 위한 글로벌 IT 뉴스 - ITWorld Korea,IDG 블로그 | 뉴 노멀에 필요한 클라우드 보안의 혁신,"네트릭스(Netwrix)의 새로운 클라우드 보안 연구에 따르면, 데이터 스토리지용으로 클라우드를 사용하는 기업의 54%가 2020년에 보안 사고를 당한 것으로 나타났다. 이들 사고는 대부분 소소한 것으로 추정되는데... ",2021-02-01 11:02:00,클라우드 보안,http://www.itworld.co.kr/news/181279
디지털투데이 (DigitalToday),"티맥스오에스-시트릭스, 리눅스 OS 기반 서비스형 데스크톱 사업 협력",티맥스오에스가 시트릭스와 서비스형 데스크톱(Desktop as a Service: DaaS) 시장을 공략한다. 티맥스 운영체제 부문 관계사인 티맥스오에스(대표 허희도)는 글로벌 업체 시트릭스코리아(지사장 이동운)와 개방형OS... ,2021-02-01 11:00:00,리눅스,http://www.digitaltoday.co.kr/news/articleView.html?idxno=262551
라이센스뉴스,"북한 사이버공격, 한국 금융 인프라 대상 확산",사이버공격은  금전 절취를 목적으로 급증하는 추세다. 북한이 신종 코로나바이러스 대책의 국경 봉쇄와 오랜 경제 제재로 외화 부족이 심화되자 사이버 공격으로 이를 메우려는 것이라는 분석이다.... ,2021-02-01 10:55:00,사이버 공격,http://www.lcnews.co.kr/news/articleView.html?idxno=12517
테크놀로지 리더를 위한 글로벌 IT 뉴스 - ITWorld Korea,솔라윈즈 공격에 대비해 액티브 디렉터리 보안을 강화하는 방법,"솔라윈즈/솔로리게이트(SolarWinds/Solorigate) 공격에는 몇 가지 우려스러운 방식이 사용됐는데, 그중 하나가 골든SAML이라고 하는 공격 프로세스다. SAML(Security Assertion Mar 신뢰할 수 있는 당사자 간의 인증 및 허가 정보... ",2021-02-01 10:34:00,솔라윈즈,http://www.itworld.co.kr/news/181269
보안뉴스,"[2.1 보안 이슈투데이] 만리방화벽, 왓츠앱 웜, 북한 징크","웜 멀웨어 발견돼...애드웨어의 일종으로 보여보안 전문가들 속이는 표적 공격 했던 북한 공격자들...... [E Hacking News] 안드로이드 웜 멀웨어, 왓츠앱 연락처 목록 통해 퍼져 :안드로이드 웜(Android Worm)이라는... ",2021-02-01 10:28:00,멀웨어,http://www.boannews.com/media/view.asp?idx=94586&kind=
IT세상을 바꾸는 힘 지디넷코리아,"아크로니스, 파트너 지원 프로그램 강화…클라우드 비즈니스 초점",아크로니스 파트너 프로그램 아크로니스에 따르면 새로운 사이버핏 파트너 프로그램은 클라우드관리서비스기업(MSP) 및 클라우드보안서비스기업(MSSP) 파트너를 염두에 두고 설계됐다. 주요 내용을 살펴보면... ,2021-02-01 10:00:00,클라우드 보안,https://zdnet.co.kr/view/?no=20210201100000
IT 조선 - 기술로 세상을 바꾸는 사람들의 놀이터,"해커, 美 US셀룰러 CRM 통해 고객 데이터 탈취",악성코드(멀웨어)를 설치해 내부 시스템에 접근했다. 미국 버몬트주 검찰총장실에 접수된 위반 통보에... 원격으로 CRM에 연결된 해커는 시스템에 멀웨어를 이식했다. 공격 당시 해당 직원이 CRM 소프트웨어에 로그인했기... ,2021-02-01 09:47:00,"멀웨어, 해커",http://it.chosun.com/site/data/html_dir/2021/02/01/2021020100817.html
한국경제TV - 대한민국 대표 경제방송,경기도 재난기본소득 가짜 신청 사이트 극성…악성코드 설치,'2차 재난기본소득 신청방법 안내'라는 단어를 검색했을 때 나타나는 이 사이트로 접속하면 악성코드가 자동으로 설치된다. 재난기본소득 입금을 위한 휴대전화 번호를 입력하라는 요구에 이용자가 응하면 피해자도... ,2021-02-01 06:57:00,악성코드,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202102010025&t=NN
보안뉴스,"한국 자동차 부품기업, 다크웹에 내부 데이터 유출됐다","다크웹 랜섬웨어 조직 ‘넷워커’, 수사기관에 의해 덜미 잡혀 정보유출 사이트 압수되는 성과도 [보안뉴스 권 준 기자] 다크웹에 데이터를 공개하는 방식으로 기업들을 협박하는 랜섬웨어 해커조직들이 활개를... ",2021-01-31 23:35:00,정보유출,http://www.boannews.com/media/view.asp?idx=94584&kind=
아이티데일리,[인터뷰] 네트워크·클라우드 보안으로 안전한 뉴노멀 시대 구현,"사용하는 멀웨어 공격이 크게 유행했다. 최원식 지사장은 체크포인트는 지난해 1월 초 코로나19 관련 콘텐츠로 위장해 악성 파일을 배포하는 이모텟(Emotet) 멀웨어를 보고한 바 있으며, 이는 지난해 빈번하게 사용된... ",2021-01-31 20:00:00,"멀웨어, 클라우드 보안",https://www.itdaily.kr/news/articleView.html?idxno=201652
IT 조선 - 기술로 세상을 바꾸는 사람들의 놀이터,두달 동안 개인정보 유출 사실 모른 한심한 KBS,"응시자 개인정보 유출은 정보 백업 중 발생했으며, KBS 한국어진흥원 측은 2달 이상 문제를 발견하지 못했다. KBS한국어진흥원은 2019년 11월 2일 시행된 제17회 ‘책과 함께, KBS한국어능력시험’에 참가한 응시자의... ",2021-01-31 19:49:00,정보유출,http://it.chosun.com/site/data/html_dir/2021/01/31/2021013100800.html
데일리시큐,"트릭봇 악성코드, 다시 살아나…랜섬웨어 등 각종 멀웨어 확산에 활용",Trickbot 악성코드가 다시 공격을 시작했다. 초기 뱅킹트로이 목마로 제작된 Trickbot은 다양한 종류의 공격을 사용할 수 있었기 때문에 사이버 범죄자들 사이에서 매우 인기있는 악성코드 형태로 발전했다. 특히... ,2021-01-31 16:42:00,"악성코드, 랜섬웨어, 멀웨어",https://www.dailysecu.com/news/articleView.html?idxno=120191
데일리시큐,"신종 Pro-Ocean 멀웨어, 클라우드 애플리케이션 공격…모네로 채굴에 집중","브리핑컴퓨터에 따르면, 이 새로운 멀웨어는 자체 확산 기능이 포함되어 있다. 발견 된 시스템에... 이 멀웨어를 분석하는 팔로알토 네트웍스 연구원들은 악성 활동을 숨기고 네트워크의 패치되지 않은... ",2021-01-31 16:26:00,멀웨어,https://www.dailysecu.com/news/articleView.html?idxno=120190
"
        한국정경신문 | 지식과 문화가 있는 종합 일간지",경기도 재난기본소득 신청 사이트 꼭 확인해야..악성코드 깔린 가짜사이트 적...,이 사이트는 ‘2차 재난기본소득 신청방법 안내’라는 단어를 검색했을 때 나타나는 사이트로 접속하면 악성코드가 자동으로 설치된다. 재난기본소득 입금을 위한 휴대폰 번호 입력 요구에 이용자가 응하면 피해자도... ,2021-01-31 14:25:00,악성코드,http://kpenews.com/View.aspx?No=1429749
